Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth 5Years,Profit growth 5Years,Average return on equity 5Years,Price to book value,Return on equity,Debt to equity,Sales growth 3Years,Profit growth 3Years,Pledged percentage,Historical PE 5Years,Cash from operations last year,Cash from operations preceding year,Days Receivable Outstanding,Interest Coverage Ratio,OPM,OPM last year,OPM preceding year,OPM latest quarter,OPM preceding quarter,OPM 5Year,OPM preceding year quarter,Dividend Payout Ratio,Dividend Payout
Amit Securities,531557,,INE137E01014,Finance,Non Banking Financial Company (NBFC),41.80,49.47,29.68,0.00,0.27,28.57,0.26,-23.53,0.93,18.92,26.01,3.00,1.80,3.34,0.00,5.95,8.74,0.00,32.39,-0.31,-0.03,117.52,,2.34,2.27,0.86,-3.85,4.35,-0.09,0.00,0.00,0.00
AMJ Land Holdin.,500343,AMJLAND,INE606A01024,Realty,"Residential, Commercial Projects",39.47,11.10,161.83,0.51,3.38,-6.05,14.30,0.21,7.56,36.18,15.35,5.41,0.76,3.42,0.00,14.11,7.58,0.00,13.74,8.20,38.10,7.37,,25.54,27.71,34.98,21.26,44.60,27.99,27.89,5.54,5.54
Amkay Products,544169,,INE0QSB01016,Healthcare Equipment & Supplies,Medical Equipment & Supplies,49.00,18.36,42.41,0.00,0.34,-77.48,19.02,-7.45,12.77,0.68,-4.31,14.90,1.61,9.16,0.15,14.69,21.12,0.00,15.33,1.18,-0.32,42.81,8.47,9.16,9.16,10.76,4.57,12.91,9.63,,0.00,0.00
AMPL Capital,539598,,INE727C01024,Finance,Non Banking Financial Company (NBFC),29.17,7.61,179.28,0.00,-1.18,-506.90,4.63,81.57,21.64,,,10.88,1.31,23.60,0.76,30.81,54.82,0.00,27.60,-20.20,-11.22,2.51,8.16,71.08,74.83,-18.61,3.02,-5.25,49.23,11.76,0.00,0.00
Ampvolts,535719,,INE989J01017,Power,Power Distribution,27.39,23.71,70.42,0.00,1.10,443.75,13.01,1175.49,5.62,203.62,18.77,2.27,1.39,3.10,1.03,782.80,84.75,24.39,28.94,-21.99,-21.66,351.03,1.91,22.32,17.15,-47.98,28.90,14.63,2.48,2.94,0.00,0.00
Amrapali Capital,536737,,INE218P01018,Finance,Non Banking Financial Company (NBFC),57.36,11.54,56.10,0.00,4.41,328.16,8275.39,17669.79,9.02,112.15,48.75,1.53,0.63,5.63,0.35,720.15,98.79,0.00,13.82,2.46,9.82,0.00,2.09,0.05,0.05,7.87,0.05,,0.15,,0.00,0.00
Amrapali Fincap,539265,,INE990S01016,Finance,Investment Company,23.70,40.83,31.85,0.00,0.55,1275.00,16.00,-35.97,0.41,-25.72,6.85,0.30,0.21,0.52,0.00,-44.81,9.75,0.00,52.78,-2.43,-1.45,0.00,,-3.95,-3.95,2.45,-4.75,-0.29,1.08,,0.00,0.00
Amrapali Inds.,526241,,INE762C01021,Commercial Services & Supplies,Trading & Distributors,34.14,10.89,175.52,0.00,3.71,851.28,8384.61,78.34,20.56,17.82,45.66,9.83,3.85,32.03,3.82,18.54,240.11,0.00,65.93,77.12,-6.34,0.01,2.32,0.06,0.05,0.01,0.10,0.08,0.03,0.03,0.00,0.00
Amraworld Agrico,531991,,INE735C01027,Textiles & Apparels,Other Textile Products,0.52,,6.26,0.00,-0.06,-20.00,0.00,,-9.96,,,-2.17,0.60,-9.87,0.00,,,0.00,23.00,-2.26,4.04,,,,,,,,,,0.00,0.00
Amrutanjan Healt,590006,AMRUTANJAN,INE098F01031,Pharmaceuticals & Biotechnology,Pharmaceuticals,505.45,23.49,1461.29,0.97,4.37,-29.84,102.97,9.48,24.84,8.59,0.98,18.23,3.95,18.42,0.00,9.80,17.26,0.00,41.00,35.97,50.90,44.04,440.68,14.37,15.10,12.91,6.06,17.06,14.35,8.97,24.45,24.45
AMS Polymers,540066,,INE345U01019,Chemicals & Petrochemicals,Specialty Chemicals,51.29,35.29,16.94,0.00,0.28,-53.33,36.34,36.16,10.38,28.79,62.37,13.05,2.81,14.03,2.40,8.88,14.23,0.00,23.94,0.53,-1.72,142.34,1.92,1.64,1.98,1.90,1.76,1.58,1.66,3.45,0.00,0.00
Amtech Esters,,,INE0RMA01019,,,,33.61,66.22,,,,,,,,,,,,,11.78,114.36,,,0.90,9.13,,7.04,10.94,10.94,4.70,,,,,0.00,0.00
Amwill Health,544353,,INE0U2L01017,Pharmaceuticals & Biotechnology,Pharmaceuticals,43.00,7.53,86.02,1.16,7.55,79.33,24.29,39.36,20.52,20.18,68.12,30.55,1.07,15.26,0.00,14.93,54.32,0.00,8.74,8.00,5.56,176.63,,30.19,30.19,31.19,36.56,19.38,27.94,,8.76,8.76
Anand Proj.,501630,,INE134R01013,Construction,Civil Construction,39.81,,3.70,0.00,-0.06,25.00,0.25,-16.67,,-32.71,,,,,0.00,19.68,,0.00,0.21,7.17,18.02,0.00,,-407.83,-393.33,-80.00,-28.00,-1423.33,-902.00,-33.33,0.00,0.00
Anand Rathi Shar,544530,ARSSBL,INE549H01021,Capital Markets,Stockbroking & Allied,515.05,22.01,3248.23,0.97,23.51,67.57,245.68,22.22,19.82,25.22,58.44,18.93,2.39,14.17,0.62,25.81,50.01,6.15,25.20,745.44,673.88,122.82,2.05,41.31,40.99,36.92,39.63,43.35,34.51,37.41,23.79,23.79
Anand Rathi Wea.,543415,ANANDRATHI,INE463V01026,Capital Markets,Financial Products Distributor,2215.90,79.57,36793.08,0.29,163.22,76.97,312.95,18.21,57.47,35.95,54.69,41.12,35.88,45.30,0.08,30.97,32.52,13.83,55.56,253.71,351.91,12.51,40.79,39.35,47.37,45.47,34.60,29.97,45.61,47.37,27.57,27.57
Anand Rayons,542721,,INE02GA01012,Textiles & Apparels,Trading - Textile Products,42.04,8.47,92.10,0.00,2.32,96.61,95.58,25.85,10.41,15.87,58.71,8.28,0.88,8.10,0.35,8.77,32.03,0.00,27.12,-11.28,11.23,72.97,5.07,2.46,2.31,2.40,2.35,2.30,2.27,1.49,0.00,0.00
Anant Raj,515055,ANANTRAJ,INE242C01024,Realty,"Residential, Commercial Projects",625.45,38.90,22508.50,0.16,149.19,18.88,631.40,6.58,12.07,58.68,120.48,8.32,3.89,11.15,0.12,37.94,53.60,0.00,41.16,-434.78,253.34,25.94,63.33,26.99,26.11,23.87,29.04,25.88,23.47,25.43,0.00,0.00
Anantam Highways,544579,ANANTAM,INE1UA823019,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",106.00,8.99,2305.50,2.36,59.43,3791.30,158.05,,13.71,,,,1.00,16.75,0.91,,,0.00,11.72,486.65,0.00,201.11,3.36,84.91,86.20,,80.09,90.18,,,27.81,27.81
Anawil Wire,,ANAWIL,INE1J5V01013,Electrical Equipment,Heavy Electrical Equipment,382.40,26.07,955.99,0.00,,,,,32.28,,,,,56.59,1.43,77.11,92.01,,22.31,18.44,9.66,99.26,8.49,42.90,42.90,38.32,,,,,0.00,0.00
ANB Metal,,AMCL,INE0VG001016,Industrial Products,"Aluminium, Copper & Zinc Products",370.00,20.40,437.89,0.00,12.97,199.54,137.39,115.08,29.63,,,39.29,4.45,32.44,0.48,38.77,126.37,0.00,26.41,-38.33,4.00,109.73,10.83,14.41,14.41,10.78,14.16,14.79,10.15,,0.00,0.00
Andhra Cements,532141,ACL,INE666E01020,Cement & Cement Products,Cement & Cement Products,43.36,,399.66,0.00,-35.93,-21.30,142.17,42.84,-6.01,436.02,10.51,,4.95,-63.97,13.96,,,31.67,10.11,-25.15,59.55,38.27,-0.60,2.71,3.63,-10.67,2.63,5.70,,6.67,0.00,0.00
Andhra Paper,502330,ANDHRAPAP,INE435A01051,"Paper, Forest & Jute Products",Paper & Paper Products,64.45,46.38,1281.59,0.78,30.32,42.28,393.77,0.09,0.04,13.92,,12.74,0.66,-1.66,0.12,-6.74,,0.00,9.37,104.50,-55.39,33.48,3.39,4.85,4.03,9.05,12.39,4.76,18.80,8.54,53.40,53.40
Andhra Petrochem,500012,,INE714B01016,Chemicals & Petrochemicals,Commodity Chemicals,44.52,,378.29,0.00,-3.25,61.40,14.09,-90.04,-1.69,-4.24,,11.35,0.75,-2.53,0.16,-12.61,,0.00,9.99,13.05,-56.73,0.00,-0.54,-4.57,-4.45,-4.57,-36.91,1.32,11.34,-7.42,0.00,0.00
Andhra Sugars,590062,ANDHRSUGAR,INE715B01021,Chemicals & Petrochemicals,Commodity Chemicals,99.51,11.47,1348.71,1.00,46.63,74.28,627.11,4.55,8.48,10.32,-6.38,8.37,0.81,6.11,0.00,1.37,-19.68,2.09,11.60,278.33,127.80,33.70,73.10,8.93,8.23,4.95,11.53,7.46,9.21,8.57,19.55,19.55
Andrew Yule & Co,526173,ANDREWYU,INE449C01025,Agricultural Food & other Products,Tea & Coffee,27.93,,1365.64,0.00,-2.34,-111.62,58.30,3.85,-6.25,-2.23,,-5.31,4.20,-5.78,0.37,-7.58,,0.00,93.79,-80.41,-11.05,108.18,-2.55,-26.99,-31.95,-20.43,-23.40,-52.08,-15.34,-49.27,0.00,0.00
ANG Lifesciences,540694,,INE236W01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,34.09,,44.52,0.00,-4.24,-110.95,15.30,-37.80,-3.64,-9.66,,2.27,0.84,-18.96,1.50,-24.93,,44.88,11.81,11.03,-0.26,266.92,-0.92,-2.24,0.76,-1.58,-12.75,11.40,10.18,2.64,0.00,0.00
Angel Fibers,541006,,INE339Z01011,Textiles & Apparels,Other Textile Products,10.50,20.51,26.25,0.00,-0.45,-125.14,101.04,1.23,10.40,9.19,-28.40,5.53,0.90,4.48,1.18,20.55,31.16,28.71,7.92,10.60,9.64,14.82,2.13,3.70,3.70,4.01,3.69,3.61,5.00,16.70,0.00,0.00
Angel One,543235,ANGELONE,INE732I01021,Capital Markets,Stockbroking & Allied,299.80,26.55,27402.81,1.35,231.40,102.15,1429.69,25.35,14.77,31.86,25.02,29.45,4.46,15.59,1.30,19.61,1.22,0.00,20.11,-4141.74,-1859.84,30.86,3.96,37.38,35.42,37.85,33.92,41.01,38.69,24.08,246.36,246.36
ANI Integrated,,AISL,INE635Y01015,Commercial Services & Supplies,Diversified Commercial Services,59.95,19.25,70.06,0.00,-0.87,-169.05,61.20,3.80,7.77,19.98,4.62,10.12,0.84,7.00,0.21,17.27,28.00,0.00,13.58,0.91,-1.18,154.97,2.74,2.07,3.18,6.17,-1.16,1.36,4.41,3.97,0.00,0.00
Anik Industries,519383,ANIKINDS,INE087B01017,Commercial Services & Supplies,Trading & Distributors,45.00,,124.88,0.00,0.23,0.00,13.53,-71.67,0.30,1.50,,0.80,0.32,-0.24,0.08,6.85,,0.00,33.90,-49.86,-119.34,204.26,5.50,-1.21,-0.98,2.61,2.44,-33.33,2.34,0.52,0.00,0.00
Anirit Ventures,530705,,INE161F01011,Textiles & Apparels,Other Textile Products,42.00,,52.80,0.00,-1.04,13.33,0.03,,-28.00,,,,5.12,-140.90,0.44,,,0.00,,-6.82,-1.10,,-3.97,,,-753.85,-2733.33,,,,0.00,0.00
Anjani Finance,531878,,INE283D01018,Finance,Non Banking Financial Company (NBFC),8.72,55.25,8.84,0.00,-0.01,0.00,0.11,-15.38,1.45,-16.49,-17.55,2.63,0.58,1.05,0.00,-28.12,-54.33,0.00,27.68,0.13,0.42,0.00,2.50,40.82,42.31,58.89,-9.09,45.45,70.13,15.38,0.00,0.00
Anjani Foods,511153,,INE096I01021,Food Products,Packaged Foods,17.11,51.98,47.82,0.00,0.13,-20.00,14.26,-7.22,10.86,,,7.02,2.94,6.10,0.64,8.69,0.00,0.00,71.82,2.27,3.53,8.38,2.83,7.59,7.83,7.70,6.17,8.74,7.22,7.16,0.00,0.00
Anjani Portland,518091,APCL,INE071F01012,Cement & Cement Products,Cement & Cement Products,101.42,,297.92,0.00,-9.80,-108.24,89.76,-35.67,0.04,,,-11.08,0.81,-10.07,0.75,-11.71,14.39,0.00,20.52,-28.64,9.70,10.84,-0.34,5.53,7.36,-4.56,1.52,10.96,7.00,8.92,0.00,0.00
Anjani Synth.,531223,,INE364D01032,Textiles & Apparels,Other Textile Products,27.35,10.06,40.34,0.00,1.14,23.91,69.51,13.28,5.99,1.17,4.17,4.64,0.45,4.32,0.33,-5.12,3.08,0.00,12.97,6.15,19.53,123.27,3.61,3.18,3.27,4.19,3.38,2.33,3.60,3.85,0.00,0.00
Anka India,531673,,INE067C01025,Consumer Durables,Leather And Leather Products,19.55,,100.77,0.00,0.05,600.00,2.76,-53.14,0.42,,,,3.82,-3.39,0.10,131.93,23.09,0.00,,0.00,1.03,30.27,0.41,6.08,4.53,-0.39,18.12,-12.08,,7.13,0.00,0.00
Ankit Met.Power,532870,ANKITMETAL,INE106I01010,Ferrous Metals,Iron & Steel,1.70,,23.99,0.00,-76.06,-76.27,146.87,-25.51,-34.20,35.59,7.79,,,,,15.92,-11.89,,,53.97,60.10,26.28,-1833.29,-27.89,-7.43,-0.68,-45.30,-45.88,-3.55,-17.10,0.00,0.00
Anlon Healthcare,544497,AHCL,INE0Y8W01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,15.68,26.36,833.42,0.00,8.28,87.61,87.56,162.94,20.77,,,,3.62,18.36,0.19,,,0.00,28.01,-58.91,-21.89,220.06,12.37,27.63,27.63,26.78,17.80,30.05,,18.74,0.00,0.00
Anlon Tech,,ANLON,INE0LR101013,Commercial Services & Supplies,Diversified Commercial Services,670.00,36.25,503.16,0.00,8.45,114.47,64.54,107.06,27.08,49.15,79.73,20.13,5.77,21.11,0.16,47.67,46.22,0.00,34.70,8.32,-16.73,123.68,11.13,19.76,19.76,19.19,19.96,18.08,19.63,23.32,0.00,0.00
