Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth 5Years,Profit growth 5Years,Average return on equity 5Years,Price to book value,Return on equity,Debt to equity,Sales growth 3Years,Profit growth 3Years,Pledged percentage,Historical PE 5Years,Cash from operations last year,Cash from operations preceding year,Days Receivable Outstanding,Interest Coverage Ratio,OPM,OPM last year,OPM preceding year,OPM latest quarter,OPM preceding quarter,OPM 5Year,OPM preceding year quarter,Dividend Payout Ratio,Dividend Payout
ION Exchange,500214,IONEXCHANG,INE570A01022,Other Utilities,Water Supply & Management,409.20,54.53,6001.60,0.31,3.06,-91.56,700.46,20.11,14.17,14.99,1.01,19.76,4.48,12.04,0.36,13.57,-8.02,0.00,30.64,-28.47,32.05,134.57,6.04,5.91,7.33,10.86,4.53,2.29,10.90,10.72,12.47,12.47
IP Rings,523638,IPRINGLTD,INE558A01019,Auto Components,Auto Components & Equipments,159.99,42.88,202.80,0.00,1.52,230.43,96.03,17.80,8.60,11.16,-5.80,1.47,1.92,3.52,1.16,1.37,27.39,0.00,21.32,8.35,19.37,82.11,1.46,9.03,8.92,7.35,9.50,8.65,8.66,9.18,0.00,0.00
Ipca Labs.,524494,IPCALAB,INE571A01038,Pharmaceuticals & Biotechnology,Pharmaceuticals,1965.30,36.30,49860.49,0.31,424.27,72.33,2788.10,20.76,16.98,12.21,0.78,12.77,6.18,15.70,0.10,15.66,37.40,0.00,38.37,1141.97,1321.32,76.59,28.42,22.04,20.73,19.46,24.01,20.26,19.14,18.04,0.00,0.00
IRB Infra.Devl.,532947,IRB,INE821I01022,Construction,Civil Construction,19.65,24.13,23733.27,0.79,306.27,51.26,2137.27,1.82,7.47,7.62,49.86,4.79,1.13,4.29,0.96,6.11,7.50,0.03,31.66,2098.03,1971.21,7.42,1.82,54.41,52.40,45.61,53.93,56.19,46.47,45.35,14.91,14.91
IRB InvIT Fund,540526,IRBINVIT,INE183W23014,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",64.54,16.00,5104.78,10.23,79.44,-19.03,492.16,69.28,6.96,5.37,11.85,7.51,1.01,5.11,1.15,0.98,-5.09,0.00,11.11,1274.77,960.60,0.00,1.55,79.43,79.15,82.12,80.51,73.50,75.58,84.14,125.78,125.78
Ircon Intl.,541956,IRCON,INE962Y01021,Construction,Civil Construction,119.25,21.42,11215.65,1.59,92.03,-43.64,1955.83,9.49,9.69,11.17,9.00,12.87,1.69,9.19,0.86,-4.36,-7.94,0.00,17.69,-617.58,-1109.53,56.27,2.79,8.20,8.44,7.88,9.81,8.37,8.01,11.19,30.01,30.01
Iris Clothings,,IRISDOREME,INE01GN01025,Textiles & Apparels,Garments & Apparels,63.58,68.87,1210.13,0.00,4.01,52.47,47.24,26.31,16.04,16.74,19.90,17.25,8.54,14.44,0.24,19.07,25.12,0.00,47.13,-6.71,2.53,140.07,9.06,15.90,15.53,19.32,17.04,17.86,18.40,14.06,0.00,0.00
IRIS Regtech Solutions,540735,IRIS,INE864K01010,IT - Software,Software Products,265.92,42.66,546.95,0.00,-0.97,-434.98,32.75,30.01,10.61,17.59,97.28,51.89,2.72,89.51,0.01,20.43,207.13,0.00,53.12,105.06,27.44,78.08,21.82,6.19,7.86,17.30,-5.10,13.67,12.85,0.99,0.00,0.00
IRM Energy,544004,IRMENERGY,INE07U701015,Gas,LPG/CNG/PNG/LNG Supplier,281.40,15.80,1155.42,0.53,33.81,142.89,325.85,24.13,8.63,41.27,8.82,12.53,1.16,5.49,0.07,2.86,-5.52,0.00,23.02,142.67,93.72,11.24,8.36,13.11,10.52,10.10,18.96,10.74,14.89,9.86,11.57,11.57
Ironwood Educa,508918,,INE791H01011,Other Consumer Services,Education,49.10,13.87,82.39,0.00,0.85,172.65,11.56,4716.67,15.64,82.04,31.56,-2.61,2.64,14.86,1.27,180.99,59.86,0.00,21.48,-24.41,-26.14,234.01,3.52,16.62,15.63,-50.00,13.75,13.23,5.46,-341.67,0.00,0.00
iSERA Lifesciences,534920,,INE899M01020,IT - Software,Computers - Software & Consulting,143.90,,121.01,0.00,-0.34,-1600.00,0.00,,5.95,-8.58,-31.94,,14.67,6.38,0.20,,63.41,0.00,69.78,-5.35,-1.40,322.06,,-3.70,19.85,,,49.14,,,0.00,0.00
ISF,526859,,INE973B01026,Finance,Non Banking Financial Company (NBFC),0.78,,7.41,0.00,0.03,,0.34,-20.93,-12.93,4.56,,-2.67,0.63,-13.19,0.19,0.80,,0.00,67.31,1.47,1.37,137.41,-7.11,-119.88,-117.06,18.99,35.29,-600.00,-16.23,16.28,0.00,0.00
ISGEC Heavy,533033,ISGEC,INE858B01029,Construction,Civil Construction,787.35,22.14,5789.35,0.76,17.50,29.15,1980.00,45.98,10.85,4.59,-14.22,7.51,2.12,4.19,0.35,1.99,-16.26,0.00,28.46,764.97,116.18,147.91,7.45,8.32,8.17,9.31,6.24,7.61,8.01,9.14,40.48,40.48
Ishaan Infrastru,540134,,INE818R01011,Construction,Civil Construction,12.89,,8.35,0.00,-0.05,16.67,0.00,,-3.66,,,-1.66,1.30,-3.97,0.00,,,0.00,64.95,0.01,-0.12,,,,,,,,,,0.00,0.00
Ishan Dyes,531109,ISHANCH,INE561M01018,Chemicals & Petrochemicals,Specialty Chemicals,44.29,,120.93,0.00,0.16,-46.67,41.48,154.63,0.96,-2.11,,0.59,0.85,-5.78,0.64,4.34,,0.00,25.03,8.59,11.61,19.13,0.37,5.35,5.09,6.62,8.12,17.57,7.43,11.23,0.00,0.00
Ishan Internat.,,ISHAN,INE0LCW01025,Industrial Manufacturing,Industrial Products,0.55,29.72,11.89,0.00,0.31,263.16,13.50,-68.39,3.43,3.90,21.67,3.47,0.52,1.76,0.27,-9.01,-8.37,0.00,56.00,-0.06,-0.29,114.02,2.15,1.93,1.93,0.12,1.19,2.61,2.45,,0.00,0.00
Ishita Drugs,524400,,INE806D01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,72.90,30.70,21.80,0.00,0.23,-23.33,3.15,-41.67,8.66,1.00,-1.23,7.85,1.88,6.98,0.01,6.69,10.38,0.00,25.84,3.92,-3.64,25.15,25.75,5.88,5.25,6.60,9.84,3.27,6.35,6.30,0.00,0.00
ISL Consulting,511609,,INE569B01022,Finance,Other Financial Services,12.38,,29.71,0.00,2.96,138.71,2.93,-11.75,-17.01,3.58,,-0.29,2.71,-17.10,0.00,1.94,,0.00,31.52,-0.36,-0.46,44.99,,-1.98,-11.19,-6.92,101.37,-66.28,1.27,37.65,0.00,0.00
IST,508807,ISTLTD,INE684B01029,Auto Components,Auto Components & Equipments,654.55,4.65,763.47,0.00,83.11,14.87,34.89,18.71,12.74,-1.57,10.30,9.63,0.45,9.70,0.00,1.38,22.98,0.00,6.66,84.88,41.74,24.48,48.72,52.35,59.18,71.49,45.51,37.13,66.51,72.17,0.00,0.00
iStreet Network,524622,,INE532B01020,IT - Services,IT Enabled Services,51.65,91.11,369.90,0.19,1.57,-36.44,43.33,227.51,23.57,,116.07,,7.82,22.39,0.01,,183.01,0.00,27.38,-35.22,-0.02,364.81,102.60,4.08,3.82,3.64,4.98,1.78,,5.06,14.00,14.00
Italian Edibles,,ITALIANE,INE0R7R01018,Food Products,Packaged Foods,33.50,12.28,49.50,0.30,1.35,26.17,53.69,24.80,10.61,15.27,37.17,10.69,1.04,8.79,0.79,16.42,15.43,0.00,15.25,-1.84,-3.39,42.87,2.75,8.12,8.12,8.47,5.92,10.69,8.82,,0.00,0.00
ITC,500875,ITC,INE154A01025,Diversified FMCG,Diversified FMCG,264.10,16.76,330911.54,5.49,4508.79,-22.00,19114.37,-11.07,38.91,9.87,9.62,32.18,4.56,29.32,0.03,3.60,2.97,0.00,24.53,18464.31,17627.04,18.15,246.69,33.58,34.62,34.29,27.10,38.85,35.24,31.71,87.81,87.81
ITC Hotels,544325,ITCHOTELS,INE379A01028,Leisure Services,Hotels & Resorts,161.23,36.44,33584.30,0.62,181.91,35.42,936.02,14.77,11.23,,,,2.88,7.89,0.01,,,0.00,41.51,1109.85,801.06,20.30,153.67,34.54,35.75,35.20,31.23,37.19,,30.00,0.00,0.00
ITCONS E-Soluti.,543806,,INE0O6A01019,Commercial Services & Supplies,Diversified Commercial Services,293.45,50.26,264.35,0.05,2.47,26.02,47.55,23.67,13.09,60.18,130.98,14.00,4.38,10.79,0.06,45.83,44.87,0.00,47.17,-12.23,-22.89,97.01,11.23,6.02,6.02,7.50,5.43,6.72,7.76,,2.57,2.57
ITI,523610,ITI,INE248A01017,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,272.50,,26246.09,0.00,-32.47,45.85,425.03,-14.65,1.43,-1.56,,-11.90,14.17,-9.13,0.41,16.10,16.15,0.00,133.19,-135.40,-153.57,485.67,0.27,2.50,2.00,-1.66,0.42,4.27,-3.68,-1.47,0.00,0.00
ITL Industries,522183,ITL,INE478D01014,Industrial Manufacturing,Industrial Products,364.55,13.61,116.81,0.34,0.58,-74.52,61.93,12.25,13.36,17.94,11.58,11.78,1.32,10.17,0.25,12.17,3.67,0.00,10.33,0.08,1.01,61.11,6.88,6.81,6.81,7.49,3.23,8.69,7.35,8.50,4.91,4.91
Ivalue Infosolut,544523,IVALUE,INE056801025,IT - Services,IT Enabled Services,230.26,11.76,1260.76,0.00,15.72,52.26,179.73,-21.14,25.37,2.37,24.77,20.70,2.22,19.81,0.12,9.83,19.38,0.00,13.25,107.99,46.20,336.50,13.88,13.74,12.85,12.50,9.69,18.82,10.31,4.43,0.00,0.00
IVP,507580,IVP,INE043C01018,Chemicals & Petrochemicals,Specialty Chemicals,203.34,6.60,210.05,0.74,14.02,1078.15,154.73,11.97,14.14,15.47,32.84,13.26,1.34,12.81,0.42,-3.47,0.91,0.00,11.13,52.71,-2.47,114.37,7.42,8.35,5.84,4.69,13.31,8.33,5.62,3.08,8.29,8.29
Iware Supplych.,,IWARE,INE1AII01014,Transport Services,Logistics Solution Provider,485.35,38.84,558.48,0.21,8.63,,164.23,,27.97,68.62,68.46,45.76,9.33,39.99,1.26,80.86,224.72,0.00,20.32,-19.80,5.97,84.94,5.20,11.36,11.36,19.86,10.56,12.57,14.15,,0.00,0.00
Iykot Hitech,522245,,INE079L01013,Industrial Manufacturing,Industrial Products,22.16,,23.00,0.00,-0.45,-28.57,0.11,-83.82,-39.38,-24.09,,-33.83,5.96,-38.77,0.00,-11.30,-3.30,0.00,72.86,-0.58,-2.08,32.55,,-69.48,-94.27,-20.16,-409.09,8.06,-26.74,-48.53,0.00,0.00
IZMO,532341,IZMO,INE848A01014,IT - Services,IT Enabled Services,902.45,25.15,1351.90,0.00,12.20,103.33,65.38,15.70,12.58,19.66,12.28,8.80,3.30,12.38,0.01,22.80,33.43,0.00,11.75,19.83,4.47,165.34,32.92,20.03,18.28,17.41,25.08,13.59,18.96,17.11,0.00,0.00
J & K Bank,532209,J&KBANK,INE168A01041,Banks,Private Sector Bank,150.02,7.17,16519.94,1.43,428.80,-11.50,3547.48,8.50,5.84,10.15,40.66,14.07,0.97,15.36,10.46,12.02,25.97,0.00,5.41,-1125.68,2723.15,0.00,1.39,70.91,71.55,69.43,69.12,72.83,66.18,67.56,0.00,0.00
J A Finance,543860,,INE825B01010,Finance,Non Banking Financial Company (NBFC),125.60,230.60,133.75,0.00,0.23,21.05,0.52,-28.77,7.79,9.28,,2.80,6.48,2.65,0.12,8.57,9.61,0.00,62.63,2.60,-1.11,0.00,1.99,65.76,65.95,63.16,69.23,75.36,67.58,67.12,0.00,0.00
J J Finance Corp,523062,,INE584C01011,Finance,Non Banking Financial Company (NBFC),46.00,,12.97,0.00,-0.09,-250.00,0.02,-90.91,0.30,-7.48,,1.73,1.34,-0.40,0.00,-0.82,,0.00,36.88,-0.44,-0.02,0.00,,-80.95,7.50,57.69,-350.00,,49.45,59.09,0.00,0.00
J K Cements,532644,JKCEMENT,INE823G01014,Cement & Cement Products,Cement & Cement Products,5083.50,40.23,39279.32,0.39,274.62,-14.47,4031.72,20.26,15.10,15.74,6.72,14.54,5.58,15.61,0.88,12.18,33.36,0.00,42.12,1872.99,1939.39,20.22,4.28,16.21,17.33,17.12,16.07,17.56,16.99,20.51,15.57,15.57
J Kumar Infra,532940,JKIL,INE576I01022,Construction,Civil Construction,487.35,9.51,3687.56,0.82,97.81,-4.79,1507.42,1.95,18.34,17.24,43.99,12.54,1.10,12.33,0.18,10.65,12.67,22.67,10.75,1116.45,375.29,95.21,4.18,14.28,14.38,14.51,14.26,13.94,14.38,14.62,7.89,7.89
J.G.Chemicals,544138,JGCHEM,INE0MB501011,Chemicals & Petrochemicals,Commodity Chemicals,598.15,31.18,2343.91,0.17,26.11,59.04,315.65,44.79,18.13,17.52,23.80,16.44,4.44,13.27,0.01,7.55,6.67,0.00,24.08,43.57,-11.20,64.16,199.57,8.94,8.43,10.21,10.62,7.51,8.94,9.08,6.54,6.54
Jackson Invest,538422,,INE508N01025,Finance,Investment Company,0.39,4.74,11.34,0.00,0.04,0.00,0.13,-13.33,5.33,-11.47,95.59,-0.06,0.39,8.08,0.00,-26.67,94.76,0.00,65.50,8.50,-0.03,338.93,,33.96,14.29,-145.76,38.46,-100.00,-46.26,33.33,0.00,0.00
Jagan Lamps,530711,,INE144C01014,Auto Components,Auto Components & Equipments,61.15,16.59,44.64,0.00,1.06,186.49,12.89,43.54,7.99,6.39,-1.59,8.81,1.27,5.61,0.12,-3.49,-10.30,0.00,18.64,5.90,-2.56,65.98,6.83,11.12,10.28,11.10,13.73,14.19,9.54,10.58,0.00,0.00
Jagatjit Inds.,507155,,INE574A01016,Beverages,Breweries & Distilleries,160.05,64.55,748.75,0.00,-8.28,16.13,160.30,77.56,10.48,-8.69,17.21,-0.56,11.88,17.12,5.76,-20.65,23.72,0.00,79.51,0.00,-5.35,44.04,1.32,-12.54,-18.72,-2.72,0.36,-12.99,-2.25,-7.01,0.00,0.00
Jagjanani Text.,532825,,INE702H01018,Textiles & Apparels,Other Textile Products,5.95,,9.28,0.00,-0.03,0.00,0.00,,,,,,,,,,,0.00,6.67,0.01,0.08,,,,,,,,,,0.00,0.00
Jagran Prakashan,532705,JAGRAN,INE199G01027,Media,Print Media,60.98,7.04,1327.26,11.48,61.23,-12.49,499.35,8.54,12.15,7.79,17.68,8.05,0.66,9.02,0.05,0.36,8.34,0.00,9.66,268.55,223.94,85.57,15.12,13.35,13.30,8.49,14.02,10.09,14.12,13.87,110.50,110.50
Jagsonpal Pharma,507789,JAGSNPHARM,INE048B01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,242.06,33.96,1596.57,1.65,13.19,22.13,82.23,8.76,22.73,8.85,21.21,16.75,5.87,17.30,0.03,6.66,15.99,0.00,36.23,46.81,55.30,21.84,62.02,20.80,20.22,19.00,20.97,17.38,15.74,18.78,62.16,62.16
Jagsonpal Services,530601,,INE582C01015,Finance,Non Banking Financial Company (NBFC),53.10,,96.67,0.00,-1.41,-31.78,0.00,,-35.47,,,-22.65,8.59,-35.84,0.00,,,0.00,,-2.14,-0.86,,,,,,,,,,0.00,0.00
Jai Balaji Inds.,532976,JAIBALAJI,INE091G01026,Ferrous Metals,Iron & Steel,69.73,43.48,6361.40,0.00,85.23,20.81,1682.59,23.98,9.73,15.74,30.39,,2.82,6.03,0.18,-1.89,0.21,31.09,15.68,357.97,311.28,20.84,4.38,6.05,6.04,13.65,9.00,5.28,9.15,9.36,0.00,0.00
Jai Corp,512237,JAICORPLTD,INE070D01027,Industrial Products,Plastic Products - Industrial,99.52,18.49,1746.63,0.50,28.20,-72.91,157.58,20.06,11.75,1.75,38.95,2.17,1.39,12.01,0.19,-4.70,44.07,0.00,43.64,13.55,44.99,32.90,619.00,12.93,10.83,10.15,15.07,13.18,9.06,6.25,0.00,0.00
Jai Mata Glass,523467,,INE250C01027,Other Construction Materials,Other Construction Materials,2.89,,28.90,0.00,-0.06,-400.00,0.02,-81.82,-10.27,9.46,,-3.40,14.90,-10.76,0.00,-29.95,,0.00,272.00,1.65,-0.02,464.55,,-1800.00,-227.27,11.63,-400.00,,-30.29,18.18,0.00,0.00
Jaihind Industries,514312,,INE156E01014,Textiles & Apparels,Other Textile Products,39.58,483.29,33.83,0.00,0.07,600.00,0.17,750.00,0.12,,14.87,0.13,2.25,0.13,0.08,,0.00,0.00,2050.00,-0.15,-0.05,17538.25,,22.86,10.00,,41.18,20.00,10.00,50.00,0.00,0.00
Jain Irrigat-DVR,570004,JISLDVREQS,IN9175A01010,Industrial Products,Plastic Products - Industrial,21.93,,42.31,0.00,20.42,85.30,1092.49,7.78,,,,,,,,,,0.00,,,,,,,,,16.03,15.02,,15.37,,
Jain Irrigation,500219,JISLJALEQS,INE175A01038,Industrial Products,Plastic Products - Industrial,30.87,,2248.31,0.00,-17.80,-207.18,1508.37,-2.41,5.30,2.59,14.26,3.00,0.38,-0.48,0.74,4.00,,40.77,74.45,618.77,793.77,129.70,1.10,12.02,12.52,12.40,10.89,12.96,11.51,13.00,0.00,0.00
Jain Resource,544537,JAINREC,INE0YD401026,Diversified Metals,Diversified Metals,277.95,26.33,9591.66,0.00,69.41,21.02,2724.46,75.86,25.66,,,,6.14,30.42,0.82,46.04,56.07,0.00,33.06,-590.67,3.82,18.20,6.00,5.38,5.89,5.77,3.97,3.53,,5.80,0.00,0.00
Jainam Ferro,,JAINAM,INE02KC01010,Ferrous Metals,Ferro & Silica Manganese,203.50,35.36,238.32,0.00,1.23,-47.21,97.40,-9.12,7.04,15.16,16.43,15.73,1.61,4.78,0.14,-6.97,-33.81,0.00,22.98,30.45,-2.02,17.33,6.41,4.29,4.29,6.74,1.56,6.76,9.08,,0.00,0.00
Jainco Projects,526865,,INE966C01010,Commercial Services & Supplies,Trading & Distributors,4.50,,4.50,0.00,0.00,,0.08,-71.43,2.49,52.81,,0.08,0.42,0.09,0.27,31.48,0.00,0.00,445.00,-12.34,-12.34,1445.40,1.03,58.93,73.33,70.51,0.00,76.67,57.55,75.00,0.00,0.00
Jainex Aamcol,505212,,INE280F01019,Auto Components,Auto Components & Equipments,161.30,25.67,36.20,0.00,0.48,6.67,7.53,15.67,10.59,17.35,63.22,13.45,2.08,11.28,0.86,9.69,4.44,0.00,34.67,4.27,-1.23,85.54,3.79,13.74,13.37,5.76,14.87,16.58,12.10,13.52,0.00,0.00
Jainik Power,,JAINIK,INE0XIL01012,Non - Ferrous Metals,Aluminium,209.20,21.41,300.15,0.00,7.85,64.57,208.91,9.73,29.88,45.36,181.02,34.71,3.53,25.57,0.07,80.08,364.38,0.00,14.06,-23.29,-5.33,53.36,16.93,4.96,4.96,4.00,5.06,4.84,3.65,,0.00,0.00
Jaipan Industrie,505840,,INE058D01030,Consumer Durables,Household Appliances,40.57,7.32,24.75,0.00,0.10,100.00,5.20,-14.33,5.68,13.37,17.08,-1.53,3.21,5.46,0.93,-11.27,0.00,0.00,40.18,3.85,0.07,126.70,10.60,3.33,3.11,3.21,3.65,4.99,1.48,2.47,0.00,0.00
Jalan Transol.,,JALAN,INE349X01015,Transport Services,Logistics Solution Provider,1.80,52.40,2.62,0.00,-0.03,100.34,1.35,419.23,,-32.40,14.97,,,,,-38.17,-41.52,0.00,32.06,7.59,0.17,105.20,,2.18,2.18,-48.10,0.74,4.26,-4.07,,0.00,0.00
James Warren Tea,538564,,INE718P01017,Agricultural Food & other Products,Tea & Coffee,253.70,12.30,93.87,0.00,9.45,-33.64,17.43,-33.09,6.93,-2.82,-3.99,9.68,0.47,6.43,0.00,-5.14,9.35,0.00,6.79,7.51,24.79,0.46,,5.98,10.25,18.84,25.07,-523.46,4.71,36.97,0.00,0.00
Jamna Auto Inds.,520051,JAMNAAUTO,INE039C01032,Auto Components,Auto Components & Equipments,120.69,19.97,4827.42,0.83,48.52,6.05,611.46,6.65,27.47,19.33,26.68,22.17,4.21,22.37,0.01,3.95,12.45,1.52,24.41,510.47,288.93,11.05,21.11,15.28,15.16,13.45,13.92,16.31,13.39,13.30,0.00,0.00
Jamshri Realty,502901,,INE462D01034,Realty,"Residential, Commercial Projects",76.55,,53.48,0.00,0.18,80.00,1.69,-8.15,5.81,31.37,14.42,,,,,22.32,25.31,0.00,,1.35,1.32,69.21,0.97,30.75,28.79,9.67,39.05,16.45,-0.19,30.98,0.00,0.00
Jana Small Finan,544118,JSFB,INE953L01027,Banks,Other Bank,535.10,14.90,5658.82,0.00,155.23,52.29,1514.53,22.08,7.45,16.47,28.81,13.55,1.27,7.63,9.31,20.29,8.44,0.00,10.37,593.64,4073.25,0.00,1.13,39.59,38.56,44.06,43.60,40.37,40.98,39.58,0.00,0.00
Jaro Institute,544534,JARO,INE00YJ01010,Other Consumer Services,E-Learning,445.65,17.55,992.48,1.12,11.17,48.34,70.75,16.61,22.09,44.90,71.51,24.71,2.74,16.52,0.02,30.88,56.23,0.00,19.75,57.45,-23.45,18.24,41.42,25.81,26.48,32.81,21.43,28.97,27.21,23.01,12.35,12.35
Jasch Gauging,544112,,INE0QXV01014,Industrial Manufacturing,Industrial Products,530.10,15.87,240.24,1.89,3.69,7.89,14.68,15.96,21.28,,,22.45,2.42,15.71,0.00,-4.62,-4.48,0.00,16.60,0.79,6.04,34.19,186.82,26.18,26.31,29.63,25.27,20.09,,26.38,30.73,30.73
Jasch Industries,500220,,INE711C01028,Textiles & Apparels,Other Textile Products,290.50,13.22,197.48,0.00,3.81,72.40,75.26,79.66,19.22,11.21,3.04,23.48,2.57,18.86,0.55,11.00,-12.75,0.00,11.19,2.98,8.03,88.64,12.31,9.50,9.97,7.47,8.41,12.49,9.16,9.74,0.00,0.00
Jash Engineering,544402,JASH,INE039O01029,Industrial Manufacturing,Industrial Products,478.50,35.11,3023.82,0.33,5.09,195.48,149.88,17.45,17.69,19.71,20.11,20.32,5.83,16.00,0.20,22.35,13.81,0.00,33.71,56.08,54.88,149.14,9.67,15.06,13.87,17.32,5.39,23.72,15.92,-3.21,8.26,8.26
Jattashankar Ind,514318,,INE722N01014,Agricultural Food & other Products,Other Agricultural Products,553.00,132.66,242.77,0.00,0.92,736.36,35.78,,6.54,53.59,45.13,1.10,12.46,5.43,0.00,101.83,86.03,0.00,41.36,-20.15,1.52,32.10,,1.30,0.43,-17.26,3.47,0.68,0.39,,0.00,0.00
Jauss Polymers,526001,,INE593O01017,Industrial Products,Packaging,21.91,,10.13,0.00,-0.05,-115.62,0.00,,-76.09,,,-14.42,3.04,-82.02,0.13,,,0.00,10.07,-4.02,-0.04,,,,,,,,,,0.00,0.00
Jay Ambe Super.,544514,,INE1DRH01011,Retailing,Diversified Retail,137.85,25.14,122.41,0.00,3.36,127.03,40.93,40.51,24.49,,,21.85,3.55,20.27,0.30,29.81,140.52,0.00,31.70,3.08,-3.05,12.51,5.09,14.43,14.43,10.52,18.69,8.74,9.72,,0.00,0.00
Jay Bee Laminati,,JAYBEE,INE0SMY01017,Industrial Products,Iron & Steel Products,84.35,10.42,190.36,0.00,14.58,32.91,329.24,53.65,16.49,48.87,74.68,21.83,1.15,11.65,0.19,30.53,10.08,0.00,19.11,30.15,-34.57,127.00,3.81,6.22,6.22,11.72,7.25,4.66,9.01,,0.00,0.00
Jay Bharat Maru.,520066,JAYBARMARU,INE571B01036,Auto Components,Auto Components & Equipments,122.29,9.73,1323.79,0.57,21.20,-8.11,626.79,12.56,16.44,11.22,39.44,9.95,1.92,22.06,0.77,2.86,54.95,0.00,22.74,196.58,199.37,16.72,4.10,10.67,11.08,7.19,10.04,11.87,8.11,11.82,5.50,5.50
Jay Jalaram Tech,,KORE,INE0J6801010,Retailing,Diversified Retail,123.80,17.12,150.11,0.00,5.11,49.85,494.85,45.93,12.08,47.63,97.75,14.08,1.79,11.60,0.49,50.66,43.95,0.00,58.11,0.00,-33.19,6.33,4.65,1.82,1.82,2.39,1.83,1.82,2.16,,0.00,0.00
Jay Kailash,544160,,INE0MSS01019,Food Products,Packaged Foods,70.79,29.48,35.37,0.00,0.36,-40.98,7.55,21.38,8.24,5.83,67.88,11.57,1.79,6.27,0.77,21.23,10.47,0.00,20.08,0.61,-2.23,259.85,2.55,18.27,18.27,25.03,12.98,22.28,16.77,,0.00,0.00
Jay Shree Tea,509715,JAYSREETEA,INE364A01020,Agricultural Food & other Products,Tea & Coffee,98.95,,285.77,0.51,-5.94,33.85,206.17,8.61,0.51,3.01,,-6.30,0.72,-7.51,1.06,4.61,2.15,0.00,12.97,-45.69,-42.51,18.13,0.40,2.56,1.96,4.41,2.68,-15.00,0.51,-0.23,0.00,0.00
Jay Ushin,513252,,INE289D01015,Auto Components,Auto Components & Equipments,838.20,17.92,323.55,0.48,4.87,6.33,276.81,29.27,11.95,10.94,53.70,12.71,2.38,12.73,1.04,9.68,8.84,0.00,19.45,11.45,19.74,46.52,2.51,3.36,3.65,4.35,3.04,3.60,4.10,4.29,8.69,8.69
Jayabharat Cred.,501311,,INE998D01011,Finance,Non Banking Financial Company (NBFC),13.50,,6.75,0.00,-0.27,0.00,0.00,,,,-8.88,,,,,,15.45,0.00,,-1.01,-1.33,,,,,-1860.00,,,,,0.00,0.00
Jayant Agro Org.,524330,JAYAGROGN,INE785A01026,Chemicals & Petrochemicals,Specialty Chemicals,230.60,12.74,691.80,1.52,20.63,24.21,796.61,18.51,11.63,7.98,1.08,11.39,1.13,8.53,0.22,-4.68,0.88,0.00,12.64,43.54,118.48,45.54,5.52,4.44,4.33,4.30,4.90,5.16,4.49,4.52,20.83,20.83
Jayant Infratech,543544,,INE0KR801019,Construction,Civil Construction,72.30,8.84,74.73,0.00,3.90,-29.68,57.07,-14.28,16.68,25.99,43.47,16.10,1.25,15.43,0.55,38.02,37.23,0.00,24.06,-13.44,6.93,37.48,6.91,10.03,10.03,9.16,9.04,11.06,9.38,,0.00,0.00
Jayaswal Neco,522285,JAYNECOIND,INE854B01010,Industrial Products,Iron & Steel Products,89.04,15.13,8645.77,0.00,193.92,108.47,2106.56,27.72,20.69,14.02,23.24,17.75,3.04,18.05,0.74,4.01,19.97,99.87,18.65,1367.46,1388.49,24.16,3.02,18.56,18.75,15.80,18.78,19.03,17.28,19.07,0.00,0.00
Jayatma Enterp.,539005,,INE246D01015,Commercial Services & Supplies,Diversified Commercial Services,27.13,13.80,8.14,0.00,0.19,2000.00,0.00,-100.00,1.27,0.00,-17.21,2.96,1.04,0.91,0.02,-4.44,-41.52,0.00,41.97,-0.27,-0.11,60.83,,-48.48,-33.33,-36.51,,200.00,-14.13,-50.00,0.00,0.00
Jayatma Industri,531323,,INE250D01017,Textiles & Apparels,Other Textile Products,13.27,,8.19,0.00,-0.61,-154.17,2.71,-23.23,-1.46,-29.53,,-4.35,0.87,-10.42,2.25,-20.33,,0.00,30.20,-0.85,3.89,134.20,-1.29,-0.65,0.78,-1.17,-9.23,2.38,-0.37,3.68,0.00,0.00
Jaybharat Text,512233,,INE091E01039,Textiles & Apparels,Other Textile Products,21.89,,838.03,0.00,-7.47,-56.28,8.38,444.16,-29.09,-43.17,,,,,,-36.11,18.13,,,-0.06,0.49,216.97,,-66.94,-9.20,-34.80,-31.98,1.18,-21.35,0.65,0.00,0.00
Jayesh Logistics,,JAYESH,INE1AE401014,Transport Services,Logistics Solution Provider,134.40,11.59,116.81,0.00,5.31,-18.06,69.97,4.32,21.78,18.03,64.38,36.55,2.24,29.01,0.87,29.23,109.90,0.00,9.45,-4.80,3.80,139.20,5.36,15.44,15.44,15.16,14.95,16.01,12.89,,0.43,0.43
